,video_id,comments,comments_no_stopwords
350,HRDMJlYjVRw,"['Same shirt today in  epic battle vs tm', 'Kya tune bajrang daal join Kiya kya ye aaj pheli Baar orange kapda pehna😂😂.', 'Bichara 😂']","[""['Same"", 'shirt', 'today', 'epic', 'battle', 'vs', ""tm',"", ""'Kya"", 'tune', 'bajrang', 'daal', 'join', 'Kiya', 'kya', 'ye', 'aaj', 'pheli', 'Baar', 'orange', 'kapda', ""pehna😂😂.',"", ""'Bichara"", ""😂']""]"
351,tcySymkFw5U,[],['[]']
352,QvGWkjYh8mo,[],['[]']
353,yQotPuTW9Es,"['I got this recommended today after 10 months', 'mw1 bachpan sein top frag😎', ""India's best 2 duelist"", 'Bund hacker', 'Nashedi highlights or what', 'Good one', 'I want to play with u bro', '4:12 ""Last player standing"" was so funny 😂😂😂', 'rossi sir apke premium shots keliye premium editor hona chahiye pls editor change karlo', 'how much for hacks']","[""['I"", 'got', 'recommended', 'today', '10', ""months',"", ""'mw1"", 'bachpan', 'sein', 'top', ""frag😎',"", '""India\'s', 'best', '2', 'duelist"",', ""'Bund"", ""hacker',"", ""'Nashedi"", 'highlights', ""what',"", ""'Good"", ""one',"", ""'I"", 'want', 'play', 'u', ""bro',"", ""'4:12"", '""Last', 'player', 'standing""', 'funny', ""😂😂😂',"", ""'rossi"", 'sir', 'apke', 'premium', 'shots', 'keliye', 'premium', 'editor', 'hona', 'chahiye', 'pls', 'editor', 'change', ""karlo',"", ""'how"", 'much', ""hacks']""]"
354,QqrjFeHu6x8,['ME MUTNE KYA GYA STREAM HI BAND KR DIYA THEEK HE BHAI!!'],"[""['ME"", 'MUTNE', 'KYA', 'GYA', 'STREAM', 'HI', 'BAND', 'KR', 'DIYA', 'THEEK', 'HE', ""BHAI!!']""]"
355,gK9hT0CxxBk,"['Brother tumhara headphones konsa hai', 'no one can be like you sk', 'this my first ever val edit, what you think>?']","[""['Brother"", 'tumhara', 'headphones', 'konsa', ""hai',"", ""'no"", 'one', 'like', ""sk',"", ""'this"", 'first', 'ever', 'val', 'edit,', ""think>?']""]"
356,YFKkUbItLFU,"['thats how i find him', 'Timestamps-\n1:48:31 4k(3k with sheriff+knifes)\n2:15:35  4k (nc) \n2:19:42 uff\n2:21:50 2k with knifes\n2:28:17 OMG....yeh dekhoo... no scope\n2:39:51 2k with OP .\n3:00:47 3k with knifes..\n3:04:47 4k with spectre and classic\n3:17:00 God ace with OP\n3:20:35 Again 4k (ace miss)\n4:36:25 3k with oP\n4:37:19 4K with OP', 'エース', 'Best jett player of India.']","[""['thats"", 'find', ""him',"", ""'Timestamps-\\n1:48:31"", '4k(3k', 'sheriff+knifes)\\n2:15:35', '4k', '(nc)', '\\n2:19:42', 'uff\\n2:21:50', '2k', 'knifes\\n2:28:17', 'OMG....yeh', 'dekhoo...', 'scope\\n2:39:51', '2k', 'OP', '.\\n3:00:47', '3k', 'knifes..\\n3:04:47', '4k', 'spectre', 'classic\\n3:17:00', 'God', 'ace', 'OP\\n3:20:35', 'Again', '4k', '(ace', 'miss)\\n4:36:25', '3k', 'oP\\n4:37:19', '4K', ""OP',"", ""'エース',"", ""'Best"", 'jett', 'player', ""India.']""]"
357,Ne9jjt6VZvY,"['Op bhai op', 'Bhai icebox wala Jo comeback tha me live stream me bhi deka or abhi wapas dek Raha hu', 'Nice']","[""['Op"", 'bhai', ""op',"", ""'Bhai"", 'icebox', 'wala', 'Jo', 'comeback', 'tha', 'live', 'stream', 'bhi', 'deka', 'abhi', 'wapas', 'dek', 'Raha', ""hu',"", ""'Nice']""]"
358,hfSriRPWaiU,['Thumbnail game going strong'],"[""['Thumbnail"", 'game', 'going', ""strong']""]"
359,tIip_yef_XA,"['THIS IS NOT A SHORT SHORTS ARE VERTICAL VIDEOS', 'Brooooo xd xd', 'Are bhai kya Hua comedy of errors', 'Top 0.3% of the players btw', 'hellranger laugh bhaii sahab', '😂😂😂😂😂\nIs that lightningfast laughing? 😂', 'Lmao', 'thats such a sad laugh ;-;', 'God rosssi 3-0 vs RGE', '😂']","[""['THIS"", 'IS', 'NOT', 'A', 'SHORT', 'SHORTS', 'ARE', 'VERTICAL', ""VIDEOS',"", ""'Brooooo"", 'xd', ""xd',"", ""'Are"", 'bhai', 'kya', 'Hua', 'comedy', ""errors',"", ""'Top"", '0.3%', 'players', ""btw',"", ""'hellranger"", 'laugh', 'bhaii', ""sahab',"", ""'😂😂😂😂😂\\nIs"", 'lightningfast', 'laughing?', ""😂',"", ""'Lmao',"", ""'thats"", 'sad', 'laugh', "";-;',"", ""'God"", 'rosssi', '3-0', 'vs', ""RGE',"", ""'😂']""]"
